"cosHig","Points:0","Points:1","Points:2"
0,3975,37.5,0
0,3993.8,37.5,0
0,4012.5,37.5,0
0,4031.2,37.5,0
0,4050,37.5,0
0,4068.8,37.5,0
0,4087.5,37.5,0
0,4106.2,37.5,0
0,4125,37.5,0
0,4143.8,37.5,0
0,4162.5,37.5,0
0,4181.2,37.5,0
0,4200,37.5,0
0,4218.8,37.5,0
0,4237.5,37.5,0
0,4256.2,37.5,0
0,4275,37.5,0
0,4293.8,37.5,0
0,4312.5,37.5,0
0,4331.2,37.5,0
0,4350,37.5,0
0,4368.8,37.5,0
0,4387.5,37.5,0
0,4406.2,37.5,0
0,4425,37.5,0
0,4443.8,37.5,0
0,4462.5,37.5,0
0,4481.2,37.5,0
0,4500,37.5,0
0,4518.8,37.5,0
0,4537.5,37.5,0
0,4556.2,37.5,0
0,4575,37.5,0
0,4593.8,37.5,0
0,4612.5,37.5,0
0,4631.2,37.5,0
0,4650,37.5,0
0,4668.8,37.5,0
0,4687.5,37.5,0
0,4706.2,37.5,0
0,4725,37.5,0
0,4743.8,37.5,0
0,4762.5,37.5,0
0,4781.2,37.5,0
0,4800,37.5,0
0,4818.8,37.5,0
0,4837.5,37.5,0
0,4856.2,37.5,0
0,4875,37.5,0
0,4893.8,37.5,0
0,4912.5,37.5,0
0,4931.2,37.5,0
0,4950,37.5,0
0,4968.8,37.5,0
0,4987.5,37.5,0
0,5006.2,37.5,0
0,5025,37.5,0
0,5043.8,37.5,0
0,5062.5,37.5,0
0,5081.2,37.5,0
0,5100,37.5,0
0,5118.8,37.5,0
0,5137.5,37.5,0
0,5156.2,37.5,0
0,5175,37.5,0
0,5193.8,37.5,0
0,5212.5,37.5,0
0,5231.2,37.5,0
0,5250,37.5,0
0,5268.8,37.5,0
0,5287.5,37.5,0
0,5306.2,37.5,0
0,5325,37.5,0
0,5343.8,37.5,0
0,5362.5,37.5,0
0,5381.2,37.5,0
0,5400,37.5,0
0,5418.8,37.5,0
0,5437.5,37.5,0
0,5456.2,37.5,0
0,5475,37.5,0
0,5493.8,37.5,0
0,5512.5,37.5,0
0,5531.2,37.5,0
0,5550,37.5,0
0,5568.8,37.5,0
0,5587.5,37.5,0
0,5606.2,37.5,0
0,5625,37.5,0
0,5643.8,37.5,0
0,5662.5,37.5,0
0,5681.2,37.5,0
0,5700,37.5,0
0,5718.8,37.5,0
0,5737.5,37.5,0
0,5756.2,37.5,0
0,5775,37.5,0
0,5793.8,37.5,0
0,5812.5,37.5,0
0,5831.2,37.5,0
0,5850,37.5,0
0,5868.8,37.5,0
0,5887.5,37.5,0
0,5906.2,37.5,0
0,5925,37.5,0
0,5943.8,37.5,0
0,5962.5,37.5,0
0,5981.2,37.5,0
0,6000,37.5,0
0,6018.8,37.5,0
0.53797,6037.5,37.5,0
0.69854,0,56.25,0
0,18.75,56.25,0
0,37.5,56.25,0
0,56.25,56.25,0
0,75,56.25,0
0,93.75,56.25,0
0,112.5,56.25,0
0,131.25,56.25,0
0,150,56.25,0
0,168.75,56.25,0
0,187.5,56.25,0
0,206.25,56.25,0
0,225,56.25,0
0,243.75,56.25,0
0,262.5,56.25,0
0,281.25,56.25,0
0,300,56.25,0
0,318.75,56.25,0
0,337.5,56.25,0
0,356.25,56.25,0
0,375,56.25,0
0,393.75,56.25,0
0,412.5,56.25,0
0,431.25,56.25,0
0,450,56.25,0
0,468.75,56.25,0
0,487.5,56.25,0
0,506.25,56.25,0
0,525,56.25,0
0,543.75,56.25,0
0,562.5,56.25,0
0,581.25,56.25,0
0,600,56.25,0
0,618.75,56.25,0
0,637.5,56.25,0
0,656.25,56.25,0
0,675,56.25,0
0,693.75,56.25,0
0,712.5,56.25,0
0,731.25,56.25,0
0,750,56.25,0
0,768.75,56.25,0
0,787.5,56.25,0
0,806.25,56.25,0
0,825,56.25,0
0,843.75,56.25,0
0,862.5,56.25,0
0,881.25,56.25,0
0,900,56.25,0
0,918.75,56.25,0
0,937.5,56.25,0
0,956.25,56.25,0
0,975,56.25,0
0,993.75,56.25,0
0,1012.5,56.25,0
0,1031.2,56.25,0
0,1050,56.25,0
0,1068.8,56.25,0
0,1087.5,56.25,0
0,1106.2,56.25,0
0,1125,56.25,0
0,1143.8,56.25,0
0,1162.5,56.25,0
0,1181.2,56.25,0
0,1200,56.25,0
0,1218.8,56.25,0
0,1237.5,56.25,0
0,1256.2,56.25,0
0,1275,56.25,0
0,1293.8,56.25,0
0,1312.5,56.25,0
0,1331.2,56.25,0
0,1350,56.25,0
0,1368.8,56.25,0
0,1387.5,56.25,0
0,1406.2,56.25,0
0,1425,56.25,0
0,1443.8,56.25,0
0,1462.5,56.25,0
0,1481.2,56.25,0
0,1500,56.25,0
0,1518.8,56.25,0
0,1537.5,56.25,0
0,1556.2,56.25,0
0,1575,56.25,0
0,1593.8,56.25,0
0,1612.5,56.25,0
0,1631.2,56.25,0
0,1650,56.25,0
0,1668.8,56.25,0
0,1687.5,56.25,0
0,1706.2,56.25,0
0,1725,56.25,0
0,1743.8,56.25,0
0,1762.5,56.25,0
0,1781.2,56.25,0
0,1800,56.25,0
0,1818.8,56.25,0
0,1837.5,56.25,0
0,1856.2,56.25,0
0,1875,56.25,0
0,1893.8,56.25,0
0,1912.5,56.25,0
0,1931.2,56.25,0
0,1950,56.25,0
0,1968.8,56.25,0
0,1987.5,56.25,0
0,2006.2,56.25,0
0,2025,56.25,0
0,2043.8,56.25,0
0,2062.5,56.25,0
0,2081.2,56.25,0
0,2100,56.25,0
0,2118.8,56.25,0
0,2137.5,56.25,0
0,2156.2,56.25,0
0,2175,56.25,0
0,2193.8,56.25,0
0,2212.5,56.25,0
0,2231.2,56.25,0
0,2250,56.25,0
0,2268.8,56.25,0
0,2287.5,56.25,0
0,2306.2,56.25,0
0,2325,56.25,0
0,2343.8,56.25,0
0,2362.5,56.25,0
0,2381.2,56.25,0
0,2400,56.25,0
